name,station,lat,lng
ALM,Almere Centrum,52.37503,5.21764
APN,Alphen a/d Rijn,52.124443054199,4.6577777862549
AMF,Amersfoort Centraal,52.153888702393,5.3705554008484
ASD,Amsterdam Centraal,52.378887176514,4.9002776145935
DT,Delft,52.00666809082,4.3563890457153
GVC,Den Haag Centraal,52.080276489258,4.3249998092651
DDR,Dordrecht,51.807220458984,4.668333530426
GD,Gouda,52.017501831055,4.7044444084167
HLM,Haarlem,52.38777923584,4.6383333206177
HVS,Hilversum,52.225833892822,5.1819443702698
LEDN,Leiden Centraal,52.166110992432,4.4816665649414
RTD,Rotterdam Centraal,51.92499923706,4.468888759613
SHL,Schiphol Airport,52.30944442749,4.7619442939758
UT,Utrecht Centraal,52.088890075684,5.1102776527405
WD,Woerden,52.084999084473,4.8936109542847
ZD,Zaandam,52.438888549805,4.8136110305786
ZTM,Zoetermeer,52.047500610352,4.4772224426269
